sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
5064474	mistake	regrets	4	4	2	2	Daniel later regrets his mistake when he realizes that he is in danger of losing the Fabia cosmetics account .
5153930	expense	regretted	6	6	3	3	Devambez may have regretted the extra expense involved in creating this exquisite calling card , as the Wall Street Crash and subsequent Depression devastated his market .
5167612	color	regrets	11	11	8	8	Diana , like her mother before her , regrets her hair color and wishes her hair was like Nan ' s .
5248105	decision	regret	10	10	8	8	Cutter then left the building saying he will regret his decision to not take up on his offer to reunite with Gigi .
5319752	decision	regret	10	10	8	8	Dadi ' s plan keeps on making Lakshmi regret her decision , by Arjun-Soumya ' s honeymoon , Arjun avoiding her and getting close to Soumya at Sanatanagar .
5369330	infatuation	regret	10	10	8	8	Demetrius and Philo , Romans following Antony , regret his infatuation with Cleopatra in Antony and Cleopatra .
5404269	threesome	regret	7	7	5	5	Daphne and Aaron both immediately regret the threesome , and Aaron angrily tells Aldous to go , criticizing Aldous ' s overall mental state .
5407228	involvement	regret	16	16	14	14	Darby admitted that he was `` wrong '' , and said `` I deeply regret my involvement in this whole affair .
5469756	mistake	regret	7	7	5	5	Australia would go on to regret this mistake .
5547335	nomination	regret	7	7	5	5	At this point , I regret the nomination .
5548811	action	regrets	7	7	5	5	At this point , Lois regrets her action to prevent Carol ' s relationship .
5563256	enmity	regretted	23	23	21	21	Austen Chamberlain , the brother of one opponent and , for a time , the political ally of the other , regretted the enmity , `` More ' s the pity , for together if they were together they might do a great deal .
5632737	vote	regretted	9	9	7	7	Barr responded , by saying that he regretted the vote and had spent the previous five years `` working -LSB- to -RSB- .
5633441	splitting	regretted	36	36	35	35	Barry and Lindsay split up when it was revealed that Barry had married in his absence and had two children and so Lindsay then went on to marry the hairdresser Peter Phelan -LRB- but sometimes regretted splitting with Barry -RRB- .
5661495	infidelity	regrets	7	7	5	5	Basil ' s father now regrets his infidelity , professing he loved Basil ' s mother deeply .
5685805	life	regretted	37	37	34	34	Barua wanted her to play the lead in his Devdas -LRB- 1935 -RRB- , but , due to contractual reasons with Radha , she could not act in the film , a factor she regretted all her life .
5690638	decision	regretted	4	4	2	2	Basquette quickly regretted her decision and attempted to regain custody of her daughter .
5779004	change	regrets	3	3	1	1	Beaumont regrets the change and denies being a feudal lord .
5864189	piece	regret	37	37	43	43	At the battle ' s close , Berry took to his ship ' s boat in order to speak to Nelson on the Victory but by the time he arrived Nelson had just died , an unfortunate piece of timing which Berry would regret for the rest of his life .
5899949	transformation	regret	12	12	8	8	At the castle , Charles has begun to regret Madeleine ' s transformation and begs Murder to return her to life , but Murder refuses .
5925676	role	regretted	28	28	23	23	At the time Lawson had previously been offered a role in the series by producers but turned the role down , which he regretted and took the second role they offered him .
5964453	fact	regrets	9	9	7	7	At the start of this section Weil regrets the fact that the nation has become the only collectively accessible to most people which is still at least partially rooted .
6001374	fact	regrets	8	8	6	6	At the same time , he regrets the fact that roads , nowadays , are mostly used by cars , leaving little space to walk .
6016959	date	regrets	28	28	25	25	At the recording studio , Tom -LRB- Aziz Ansari -RRB- keeps acting like he and Ann -LRB- Rashida Jones -RRB- are a couple although Ann regrets their brief date ; Chris becomes concerned upon hearing about it .
6084725	loss	regretting	24	24	22	22	Barfi has a reunion with Jhilmil and the two get married , while Shruti spends the rest of her days alone , regretting the loss of her chance to be with Barfi .
6100529	choice	regret	10	10	7	7	Band members have stated that they sometimes regret their original choice of name , and have considered changing it .
6117737	departure	regretted	3	3	1	1	Barbara regretted the departure of Krausert .
6125881	decision	regret	21	21	19	19	Barker ' s former club Blackpool earned promotion to the Premier League leading some observers to suggest he might regret the decision to move to a supposed bigger club .
6172118	mistake	regretted	21	21	19	19	Back in the war , Ross ' s father accidentally bombed a small German town and he ' s regretted the mistake ever since .
6174068	failure	regret	32	32	30	30	Back on the ship , Inara reiterates her gratitude that Reynolds was able to comfort Nandi on what turned out to be her last night , but Reynolds can only regret his failure to save her .
6252034	loss	regrets	3	3	1	1	Baines regrets the loss of bravery in sailing that will ensue once difficult passages are avoided .
6257401	principle	regrets	19	19	9	9	BalancedRestored is unblocked under the assumption that he earnestly regrets his errors -LRB- assuming good faith -RRB- and the principle that a user is only banned if there is no sysop willing to lift the block .
6311289	purchase	regretted	19	19	17	17	At three , Timoleon was purchased by William Wynn of Petersburg , Virginia who seems to have regretted his purchase because Timoleon was rapidly sold on to Robert R .
6335479	alliance	regret	10	10	8	8	At the same time , Euphemius began to regret his alliance with the Aghlabids , and opened secret contacts with the imperials , urging them to resist the Arabs .
6485604	part	regrets	18	18	16	16	Augustus survived because he had befriended one of the mutineers , Dirk Peters , who now regrets his part in the uprising .
6509168	denial	regretting	24	24	22	22	Bach used the same verse later in his St Matthew Passion , again following Erbarme dich , the aria of Peter , regretting his denial of Jesus .
6538828	fact	regrets	32	32	30	30	Aye rears her four sons -LRB- Richard , Writsaert , Adelhaert and Renout in this version -RRB- in secret at Pierlepont until the day that Aymon tells her how he regrets the fact that they have no offspring .
6556162	situation	regrets	10	10	6	6	A Word for Christmas -RSB- that regrets the `` favorable situation '' of the Jews in contemporary Germany .
6581479	incident	regretted	7	7	5	5	Baba telling her he never regretted the incident before his death .
6670917	crime	regret	9	9	7	7	During the hearing , he claims to regret his crime .
6707760	promise	regretted	8	8	3	3	Administrator Ulrich meanwhile regretted his Wolfenb u ttel promise but gave in to the pressurising by his daughter and the chapter .
6731310	decision	regret	22	22	20	20	AFDs were supposed to stay open for 5 days , it was a mistake on my part and I deeply regret my decision .
6754570	devotion	regret	16	16	3	3	Adults will just regret the way that Despicable Me 2 betrays the original film ' s devotion to bad-guy gaiety .
6757044	departure	regrets	7	7	5	5	Admiral McClintock commented , Everyone regrets the departure of Captain Fisher , but I fancy we shall not fully realize our loss until he is gone .
6828641	decision	regretted	4	4	2	2	Although he regretted his decision later , he eventually agreed after reading the script .
6834880	choice	regretted	14	14	12	12	Although he also considered studying linguistics , Medvedev later said he never regretted his choice , finding his chosen subject increasingly fascinating as his studies progressed , and said he was lucky `` to have chosen a field that genuinely interested -LSB- him -RSB- and that was really -LSB- his -RSB- thing '' .
6836411	use	regretted	24	24	22	22	Although he continued to use rotoscoping in American Pop , Hey Good Lookin ' , and Fire and Ice , Bakshi later regretted his use of rotoscoping , stating that he felt that it was a mistake to trace the source footage rather than using it as a guide .
6836836	impression	regretting	13	13	6	6	Although he did issue a statement regretting the `` appearance '' and `` impression '' of the letters he wrote on government stationery , he maintained that he `` never sought to leverage my public position nor mix my government role with my personal and professional relationship '' in the letters .
6840734	behaviour	regrets	29	29	27	27	Although he has just made a fortune in a financial deal , Mark refuses to give money to a beggar in an underground station , but later regrets this behaviour and begins to feel guilty about his success and opulent lifestyle .
6846949	fall	regret	15	15	13	13	Although an atheist , Romme did not support deChristianization , nor did he regret the fall of Maximilien Robespierre .
6853621	implication	regretted	20	20	18	18	Although Avro ' s managing director , Sir Roy Dobson , and Don Bennett of BSAA both publicly regretted any implication that the aircraft had been faulty , the Minister decided that a judicial investigation -LRB- `` Court of Investigation '' '' The Star Tiger Mystery '' Flight 7 October 1948 p433 -RRB- into the cause of the incident was necessary , the first such since the loss of the airship R101 in 1930 .
6866962	lack	regret	11	11	9	9	Although enthusiastic at the beginning , art critics especially regret the lack of cohesion of the work .
